PUMA,Year,Average Wage,Growth
"San Juan Norte PUMA, PR",2019,35094.02,7.72
"San Juan Sur PUMA, PR",2019,37766.62,2.39
"Guaynabo & Cataño PUMA, PR",2019,39602.38,3.69
"Bayamón PUMA, PR",2019,27106.91,0.36
"Toa Baja & Dorado PUMA, PR",2019,28821.82,1.89
"Toa Alta, Corozal & Naranjito PUMA, PR",2019,25316.76,0.33
"Vega Baja, Vega Alta & Morovis PUMA, PR",2019,24696.19,-1.36
"Arecibo, Manatí & Barceloneta PUMA, PR",2019,21693.57,-1.36
"Isabela, Hatillo & Camuy PUMA, PR",2019,22584.27,0.58
"Cayey, Cidra & Barranquitas PUMA, PR",2019,24491.55,3.37
"Caguas PUMA, PR",2019,31462.31,3.51
"Trujillo Alto & Gurabo PUMA, PR",2019,27563.2,4.99
"San Lorenzo, Juncos & Las Piedras PUMA, PR",2019,28088.94,3.65
"Aguadilla, Aguada & Moca PUMA, PR",2018,20265.02,3.02
"Mayagüez, Añasco & Hormigueros PUMA, PR",2018,22137.75,2.78
"Cabo Rojo, San Germán & Lajas PUMA, PR",2018,22319.84,1.08
"Yauco, Sabana Grande & Peñuelas PUMA, PR",2018,20223.91,-1.25
"Ponce PUMA, PR",2018,23801.66,1.38
"Juana Díaz, Coamo & Villalba PUMA, PR",2018,23671.62,2.86
"Guayama, Salinas & Patillas PUMA, PR",2018,20977.19,0.13
"Humacao, Fajardo & Islas Municipios PUMA, PR",2018,22618.5,-0.25
"Río Grande, Canóvanas & Loíza PUMA, PR",2018,22667.98,2.48
"Carolina PUMA, PR",2018,30062.61,3.4
"San Juan Norte PUMA, PR",2018,32578.4,2.99
"San Juan Sur PUMA, PR",2018,36883.32,0.21
"Guaynabo & Cataño PUMA, PR",2018,38192.01,-3.68
"Bayamón PUMA, PR",2018,27010.68,0.76
"Toa Baja & Dorado PUMA, PR",2018,28287.4,4.41
"Toa Alta, Corozal & Naranjito PUMA, PR",2018,25233.64,-0.0
"Vega Baja, Vega Alta & Morovis PUMA, PR",2018,25037.84,3.14
"Arecibo, Manatí & Barceloneta PUMA, PR",2018,21993.43,-1.41
"Isabela, Hatillo & Camuy PUMA, PR",2018,22453.75,3.84
"Cayey, Cidra & Barranquitas PUMA, PR",2018,23692.07,-0.01
"Caguas PUMA, PR",2018,30394.25,5.16
"Trujillo Alto & Gurabo PUMA, PR",2018,26252.25,1.13
"San Lorenzo, Juncos & Las Piedras PUMA, PR",2018,27099.22,1.05
"Aguadilla, Aguada & Moca PUMA, PR",2017,19671.8,4.4
"Mayagüez, Añasco & Hormigueros PUMA, PR",2017,21539.56,5.03
"Cabo Rojo, San Germán & Lajas PUMA, PR",2017,22082.07,-2.15
"Yauco, Sabana Grande & Peñuelas PUMA, PR",2017,20480.54,2.13
"Ponce PUMA, PR",2017,23477.72,1.6
"Juana Díaz, Coamo & Villalba PUMA, PR",2017,23012.54,3.9
