ID PUMA,PUMA,ID Year,Year,ID Workforce Status,Workforce Status,Average Wage,Slug PUMA,Temp,Growth
"79500US7200900","Río Grande, Canóvanas & Loíza PUMA, PR",2021,"2021","true","true",24632.231504015577,"rio-grande-canovanas-loiza-puma-pr",23643.23158177424,4.18301499446347
"79500US7201000","Carolina PUMA, PR",2021,"2021","true","true",32406.056754071935,"carolina-puma-pr",30784.007638521653,5.269129135481784
"79500US7201101","San Juan Norte PUMA, PR",2021,"2021","true","true",37945.909281370135,"san-juan-norte-puma-pr",36336.72210617748,4.428542482424631
"79500US7201102","San Juan Sur PUMA, PR",2021,"2021","true","true",37966.751314289606,"san-juan-sur-puma-pr",38340.75180844907,-0.9754646857943181
"79500US7201200","Guaynabo & Cataño PUMA, PR",2021,"2021","true","true",40876.15088165788,"guaynabo-catano-puma-pr",39700.45480650175,2.961417144681132
"79500US7201300","Bayamón PUMA, PR",2021,"2021","true","true",29314.242372657256,"bayamon-puma-pr",28223.449228100606,3.864847048781708
"79500US7201400","Toa Baja & Dorado PUMA, PR",2021,"2021","true","true",30847.95211575357,"toa-baja-dorado-puma-pr",29649.122594319626,4.0433895391684365
"79500US7201500","Toa Alta, Corozal & Naranjito PUMA, PR",2021,"2021","true","true",25866.050909791942,"toa-alta-corozal-naranjito-puma-pr",25362.6913249694,1.9846457868885041
"79500US7201600","Vega Baja, Vega Alta & Morovis PUMA, PR",2021,"2021","true","true",26888.883415834887,"vega-baja-vega-alta-morovis-puma-pr",25487.77358802158,5.49718406346713
"79500US7201700","Arecibo, Manatí & Barceloneta PUMA, PR",2021,"2021","true","true",23569.376079855916,"arecibo-manati-barceloneta-puma-pr",22094.17045417916,6.676899812718331
"79500US7201800","Isabela, Hatillo & Camuy PUMA, PR",2021,"2021","true","true",24003.634500078482,"isabela-hatillo-camuy-puma-pr",22835.636159064405,5.114805354570562
"79500US7202000","Cayey, Cidra & Barranquitas PUMA, PR",2021,"2021","true","true",26895.10554053685,"cayey-cidra-barranquitas-puma-pr",25754.844455622624,4.427365449164231
"79500US7202100","Caguas PUMA, PR",2021,"2021","true","true",33688.72425202394,"caguas-puma-pr",31866.681302284625,5.717705375265056
"79500US7202200","Trujillo Alto & Gurabo PUMA, PR",2021,"2021","true","true",29206.71312630096,"trujillo-alto-gurabo-puma-pr",27892.00233406892,4.713576230510273
"79500US7202300","San Lorenzo, Juncos & Las Piedras PUMA, PR",2021,"2021","true","true",30637.03579561174,"san-lorenzo-juncos-las-piedras-puma-pr",28704.366572051502,6.733014709483314
"79500US7200100","Aguadilla, Aguada & Moca PUMA, PR",2020,"2020","true","true",21905.074537085467,"aguadilla-aguada-moca-puma-pr",21184.545689343457,3.401200376482283
"79500US7200200","Mayagüez, Añasco & Hormigueros PUMA, PR",2020,"2020","true","true",23320.1936013454,"mayaguez-anasco-hormigueros-puma-pr",22336.485244199514,4.404042741690266
"79500US7200300","Cabo Rojo, San Germán & Lajas PUMA, PR",2020,"2020","true","true",22009.84261847937,"cabo-rojo-san-german-lajas-puma-pr",21983.090423650894,0.12169442199853617
